city,year,month,temperature_2m,wind_speed_10m,wind_speed_100m
Эгвекинот,2017,1,-22.437584,13.936708,25.356934
Эгвекинот,2017,2,-20.945322,11.513815,20.630424
Эгвекинот,2017,3,-15.848739,8.530572,15.463416
Эгвекинот,2017,4,-10.790777,9.355077,15.315846
Эгвекинот,2017,5,-5.302637,7.5232677,10.72923
Эгвекинот,2017,6,4.5563054,10.907245,16.308643
Эгвекинот,2017,7,6.381234,11.5283165,17.589846
Эгвекинот,2017,8,3.417524,11.441365,17.46836
Эгвекинот,2017,9,-2.959736,9.092669,15.566858
Эгвекинот,2017,10,-10.327771,13.476367,23.260021
Эгвекинот,2017,11,-13.514944,16.863955,30.442242
Эгвекинот,2017,12,-18.145311,15.224937,26.929033
Эгвекинот,2018,1,-17.637987,10.341159,19.237183
Эгвекинот,2018,2,-13.594949,11.332315,20.947866
Эгвекинот,2018,3,-19.659021,12.235089,20.978207
Эгвекинот,2018,4,-10.8150835,12.794697,22.962069
Эгвекинот,2018,5,-6.74679,7.706501,11.071014
Эгвекинот,2018,6,4.3764443,10.259617,16.768814
Эгвекинот,2018,7,6.961476,13.224471,20.08302
Эгвекинот,2018,8,4.103613,10.327855,15.67312
Эгвекинот,2018,9,3.7839444,11.681127,19.892496
Эгвекинот,2018,10,-7.4654055,11.377577,19.425764
Эгвекинот,2018,11,-16.53925,12.479787,22.672977
Эгвекинот,2018,12,-25.9562,9.609306,18.264637
Эгвекинот,2019,1,-23.605392,12.326223,24.55524
Эгвекинот,2019,2,-17.284607,17.002071,30.696682
Эгвекинот,2019,3,-19.287987,13.816921,24.777073
Эгвекинот,2019,4,-11.519249,9.953618,17.463835
Эгвекинот,2019,5,-6.3089542,7.834654,11.740579
Эгвекинот,2019,6,7.2401943,9.578848,14.814987
Эгвекинот,2019,7,7.8361397,11.758995,17.833164
Эгвекинот,2019,8,5.3722286,9.69418,14.738368
Эгвекинот,2019,9,-1.9274445,10.351456,17.128525
Эгвекинот,2019,10,-11.161037,12.160641,22.669825
Эгвекинот,2019,11,-16.069944,12.842025,22.089766
Эгвекинот,2019,12,-19.592625,12.644744,23.022184
Эгвекинот,2020,1,-21.068094,9.922058,16.696892
Эгвекинот,2020,2,-27.383415,9.641302,19.695023
Эгвекинот,2020,3,-17.594707,13.5994215,24.914627
Эгвекинот,2020,4,-14.966889,7.453285,12.813799
Эгвекинот,2020,5,-3.5955133,11.403625,18.318104
Эгвекинот,2020,6,5.717764,10.642721,15.848044
Эгвекинот,2020,7,8.780428,10.85084,16.573963
Эгвекинот,2020,8,3.8354678,11.760011,18.038847
Эгвекинот,2020,9,-2.342375,9.408594,15.02274
Эгвекинот,2020,10,-8.863188,12.203423,22.24428
Эгвекинот,2020,11,-12.439875,15.1269245,27.380884
Эгвекинот,2020,12,-20.180729,17.569483,30.154127
Эгвекинот,2021,1,-26.189665,13.125672,25.11418
Эгвекинот,2021,2,-25.196213,15.002722,27.790138
Эгвекинот,2021,3,-23.941952,10.93577,18.782732
Эгвекинот,2021,4,-13.693138,11.347702,20.460945
Эгвекинот,2021,5,-4.47757,8.749567,14.100205
Эгвекинот,2021,6,6.0828333,9.855657,14.360313
Эгвекинот,2021,7,6.478613,12.270545,18.233479
Эгвекинот,2021,8,2.6938684,12.854832,20.350246
Эгвекинот,2021,9,-6.688833,11.701159,20.252851
Эгвекинот,2021,10,-15.185366,10.067192,18.103369
Эгвекинот,2021,11,-19.245848,8.082957,13.703799
Эгвекинот,2021,12,-26.10277,14.398742,25.417192
Эгвекинот,2022,1,-19.721724,11.118414,19.396925
Эгвекинот,2022,2,-21.373,12.098364,22.620815
Эгвекинот,2022,3,-15.809424,9.526151,16.208654
Эгвекинот,2022,4,-12.444111,11.628842,20.160744
Эгвекинот,2022,5,-2.8446395,10.803018,18.012875
Эгвекинот,2022,6,3.109986,13.710244,20.347689
Эгвекинот,2022,7,4.3527393,11.782021,17.205
Эгвекинот,2022,8,4.370817,11.839163,17.826448
Эгвекинот,2022,9,-3.8360555,13.097549,21.533638
Эгвекинот,2022,10,-13.901764,9.340535,17.627514
Эгвекинот,2022,11,-18.75043,12.63613,22.653408
Эгвекинот,2022,12,-18.030594,14.7629,27.810907
Эгвекинот,2023,1,-24.5316,16.157372,28.36079
Эгвекинот,2023,2,-27.236095,10.733653,20.330606
Эгвекинот,2023,3,-20.706736,10.992567,20.082918
Эгвекинот,2023,4,-15.819249,9.086507,16.000235
Эгвекинот,2023,5,-5.767086,10.579325,16.598509
Эгвекинот,2023,6,0.61220837,10.284292,15.953675
Эгвекинот,2023,7,9.680092,9.049688,11.84648
Эгвекинот,2023,8,4.5738416,11.430374,16.21117
Эгвекинот,2023,9,-2.773764,9.670019,13.880979
Эгвекинот,2023,10,-9.795111,10.503012,17.25417
Эгвекинот,2023,11,-16.290424,14.104925,24.208076
